state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
146,21,Wilkinson County High,2A,1-1,40.2,-1,-1,-0.2,11.3,28.0,14.5,161,31.44,12.8,Playing down,-1.0,0,0,2
147,6,South Delta High School,1A,2-1,39.9,-36,-4,-10.4,43.7,22.0,25.3,185,28.66,18.2,Playing up,1.0,2,1,0
148,31,West Lauderdale High School,4A,0-3,38.7,-14,-1,-5.5,84.7,15.3,40.3,180,29.16,30.2,Playing up,0.333,1,1,1
149,22,Pelahatchie Attendance Center,2A,1-2,37.5,20,5,3.4,50.9,15.0,19.7,191,26.42,18.6,Playing up,0.333,1,2,0
150,24,Pisgah High School,3A,2-1,37.3,32,7,6.6,9.9,28.0,20.7,177,29.21,11.3,Playing down,-1.667,0,0,3
151,23,J Z George High School,2A,2-1,37.1,-44,-15,-14.6,23.0,18.3,16.0,193,26.31,15.4,Playing down,-1.0,0,0,3
152,21,Callaway High School,6A,1-2,36.5,3,2,-1.2,59.5,14.3,25.3,192,26.37,20.9,Playing up,0.333,1,2,0
153,32,Newton County High School,4A,0-3,36.2,-15,-1,-6.1,62.2,19.0,32.7,178,29.2,23.8,Mostly same class,0.0,1,1,1
154,7,Smithville High School,1A,2-1,36.2,3,1,-0.6,1.8,38.3,21.3,208,23.5,3.6,Playing up,0.667,2,1,0
155,23,South Jones High School,5A,1-2,35.9,-3,-1,-2.6,45.9,24.0,32.3,187,28.33,18.7,Playing up,0.667,2,1,0
156,24,Myrtle Attendance Center,2A,1-1,35.4,4,-1,-1.4,5.4,30.0,17.0,149,34.1,12.4,Playing down,-1.0,0,0,2
157,25,Yazoo County High School,3A,2-1,35.4,17,2,2.2,5.0,30.7,14.0,189,27.17,8.8,Playing down,-0.667,1,0,2
158,26,North Panola High School,3A,0-3,34.9,19,3,3.3,69.8,9.3,31.3,132,36.78,24.2,Mostly same class,0.0,1,1,1
159,8,McAdams Attendance Center,1A,2-1,34.6,32,9,6.4,28.8,21.3,24.0,183,28.89,16.6,Playing up,0.667,2,1,0
160,25,Hatley High School,2A,2-1,34.5,-18,-7,-6.1,23.9,20.7,20.0,213,22.45,11.2,Playing up,0.333,2,0,1
161,9,Shaw High School,1A,1-2,33.9,42,12,9.5,70.3,7.3,29.3,199,25.87,24.3,Playing up,0.5,1,1,0
162,33,Lawrence County High School,4A,0-3,33.8,-12,1,-4.9,58.1,13.7,26.0,221,21.16,24.2,Playing down,-0.333,1,0,2
163,27,Mantachie Attendance Center,3A,2-1,33.6,-5,-4,-3.2,9.0,30.7,23.3,195,26.21,7.6,Playing down,-1.0,0,1,2
164,10,Ethel Attendance Center,1A,1-2,33.1,-15,-3,-5.7,21.6,20.3,16.0,194,26.28,14.3,Playing up,1.333,3,0,0
165,26,Bay Springs High School,2A,2-1,33.1,13,2,1.7,3.2,24.0,14.7,151,33.27,10.9,Playing up,1.667,2,0,1
166,27,Loyd Star School,2A,2-1,33.0,1,-1,-1.2,2.3,27.7,15.7,179,29.2,7.3,Playing down,-0.333,0,2,1
167,28,Alcorn Central High School,3A,1-2,32.9,-91,-20,-27.6,45.5,17.0,23.0,226,20.61,13.9,Mostly same class,0.0,2,0,1
168,11,Coffeeville High School,1A,1-2,32.7,-35,-5,-11.7,37.4,18.7,21.3,212,22.51,16.3,Playing up,0.667,2,1,0
169,22,Saltillo High School,6A,0-3,32.5,-29,0,-8.5,86.5,11.7,47.0,230,18.77,27.6,Playing down,-1.667,0,0,3
170,28,Enterprise (Brookhaven),2A,2-1,32.0,-6,-4,-3.3,35.6,17.3,22.3,223,20.86,16.3,Mostly same class,0.0,0,2,0
171,12,Nanih Waiya Attendance Center,1A,2-1,32.0,30,8,7.3,7.2,42.3,37.3,156,31.92,14.4,Playing up,0.667,2,1,0
172,34,Moss Point High School,4A,0-3,31.7,-29,-2,-8.8,77.5,4.0,32.3,247,1.46,24.1,Playing up,0.667,2,0,1
173,23,Jim Hill High School,6A,1-2,31.4,-57,-2,-17.1,51.4,14.0,26.7,227,20.17,15.6,Playing down,-2.333,0,0,3
174,29,Tylertown High School,3A,1-2,31.2,-21,-7,-7.0,65.8,12.7,36.3,202,25.22,23.1,Playing up,0.333,2,0,1
175,29,Walnut Attendance Center,2A,2-1,30.7,35,8,9.5,23.4,17.7,20.3,203,24.82,11.3,Playing up,1.0,2,0,0
176,35,Raymond High School,4A,1-2,30.6,-45,-6,-14.0,48.2,13.3,25.3,216,21.73,16.6,Playing down,-1.0,0,0,2
177,24,Columbus High School,5A,0-3,30.5,9,1,0.5,84.2,6.0,43.0,254,-2.81,29.0,Playing up,0.667,2,0,1
178,30,West Marion High School,3A,1-2,30.4,24,7,6.0,53.6,9.0,31.0,172,30.48,23.0,Playing down,-0.667,1,0,2
179,31,Quitman High School,3A,1-2,30.3,17,4,4.3,45.0,19.0,40.0,175,29.51,24.4,Playing down,-1.0,0,0,3
180,13,Okolona High School,1A,0-3,30.1,-12,-2,-4.0,69.4,15.0,44.0,205,24.42,30.9,Playing up,2.5,2,0,0
181,32,Holly Springs High School,3A,2-1,29.5,-45,-14,-14.3,6.3,26.7,19.7,229,18.77,7.8,Playing down,-1.0,0,1,2
182,36,South Pontotoc High School,4A,0-3,29.4,-1,2,-1.4,71.2,16.0,40.0,239,14.28,20.5,Playing down,-1.333,0,1,2
183,14,Resurrection,1A,0-2-1,29.0,24,8,6.0,75.2,5.0,36.0,240,14.02,20.8,Playing up,1.0,2,0,0
184,37,Yazoo City High School,4A,0-2,28.8,-56,-9,-16.4,40.1,13.0,24.0,214,22.32,16.6,Mostly same class,0.0,1,0,1
185,25,Northeast Jones High School,5A,1-2,28.5,-14,-2,-5.1,33.3,21.7,31.3,190,27.01,17.2,Mostly same class,0.0,1,1,1
186,15,Sebastopol Attendance Center,1A,1-2,28.4,2,0,-1.4,30.2,20.3,25.3,207,23.63,14.9,Playing up,1.333,3,0,0
187,30,Puckett Attendance Center,2A,2-1,28.2,-3,0,-1.9,4.1,17.3,10.7,204,24.77,9.7,Playing down,-0.333,1,0,2
188,31,Philadelphia High School,2A,0-3,27.7,16,3,3.7,50.5,12.7,26.0,224,20.83,18.2,Playing up,1.667,3,0,0
189,33,Nettleton High School,3A,0-3,26.8,-10,-3,-4.6,66.2,15.3,37.0,246,1.75,17.8,Playing down,-0.333,1,0,2
190,34,Amanda Elzy High School,3A,0-3,25.8,5,0,-0.8,77.9,2.7,45.0,258,-3.28,26.5,Playing up,1.0,1,0,1
191,35,Coahoma County Jr/Sr High School,3A,1-2,25.7,1,-3,-1.2,24.3,17.3,30.0,188,28.01,19.1,Playing down,-0.667,1,0,2
192,38,Byhalia High School (9-12),4A,2-1,25.5,-16,-1,-6.3,1.4,19.3,14.3,219,21.43,6.1,Playing down,-2.333,0,0,3
193,16,Noxapater Attendance Center,1A,1-2,25.1,0,2,-1.8,15.3,16.0,17.7,209,23.31,12.0,Playing up,1.333,3,0,0
194,17,French Camp,1A,1-2,24.8,-9,-4,-5.3,34.7,13.3,28.0,222,21.1,18.2,Playing up,0.5,1,1,0
195,18,Lumberton High School,1A,1-2,24.0,-34,-9,-12.0,14.9,18.0,22.0,210,23.31,15.0,Playing up,2.333,3,0,0
196,19,West Bolivar High School,1A,1-2,22.8,-13,-7,-7.5,41.9,7.3,26.0,235,15.07,16.5,Playing up,0.667,1,2,0
197,20,West Tallahatchie High School,1A,1-2,22.7,-10,-6,-7.2,10.8,17.3,18.3,231,18.67,11.6,Playing up,1.0,2,1,0
198,32,Newton High School,2A,1-2,22.2,-8,-1,-6.2,2.7,19.3,19.0,211,22.85,11.8,Playing up,0.667,2,0,1
199,21,Richton High School,1A,1-2,22.1,-10,-5,-7.5,16.7,13.3,16.7,236,14.79,11.4,Playing up,0.333,1,2,0
200,33,Leland High School,2A,1-2,21.6,9,3,0.3,9.5,11.3,16.7,217,21.73,12.2,Playing down,-0.333,1,0,2
201,22,Taylorsville Attendance Center,1A,0-3,21.4,16,6,5.2,61.3,2.0,45.3,243,13.12,24.7,Playing up,1.333,3,0,0
202,34,North Forrest High School,2A,0-3,21.1,-5,-2,-4.6,19.8,15.3,22.7,228,18.97,13.4,Playing down,-0.333,0,2,1
203,35,Hamilton High School,2A,0-3,20.7,-3,-2,-4.3,36.9,23.0,43.3,233,16.77,18.8,Playing down,-0.667,0,1,2
204,24,Forest Hill High School,6A,0-3,19.2,-31,0,-14.0,40.5,2.0,27.3,250,0.66,17.7,Playing down,-1.667,0,1,2
205,36,East Union Attendance Center,2A,1-2,19.0,6,2,-0.8,32.4,14.3,34.7,242,13.3,13.8,Mostly same class,0.0,1,0,2
206,23,Biggersville High School,1A,1-2,18.9,-8,-4,-6.7,27.9,13.3,35.0,215,21.74,18.3,Playing up,1.333,2,1,0
207,39,Bay High School,4A,0-3,18.0,8,0,0.3,48.6,8.0,35.7,259,-7.91,17.3,Playing up,0.5,1,0,1
208,24,Bogue Chitto School,1A,1-2,17.4,0,-1,-5.0,25.2,14.0,31.0,237,14.79,13.3,Playing up,1.667,3,0,0
209,36,Humphreys County High School,3A,0-2,17.3,-34,-8,-15.0,33.8,4.0,32.0,248,1.41,15.9,Playing down,-0.5,1,0,1
210,25,Salem Attendance Center,1A,1-2,15.6,10,5,1.9,7.7,19.7,28.7,234,15.89,10.3,Playing up,1.0,2,1,0
211,37,Collins High School,2A,1-2,15.2,-31,-8,-16.0,22.5,4.7,31.3,238,14.45,17.9,Playing up,1.0,2,0,1
212,37,Crystal Springs High School,3A,0-3,15.2,-6,1,-8.3,35.1,6.7,29.7,267,-13.03,14.5,Playing up,1.0,2,0,1
213,38,M. S. Palmer High School,2A,0-3,14.9,-8,-3,-8.8,44.6,2.0,42.3,268,-14.18,19.5,Playing up,0.333,2,0,1
214,26,Riverside High School,1A,0-3,14.4,-2,-2,-4.3,47.7,2.7,45.0,274,-16.9,16.0,Playing up,1.667,3,0,0
215,27,Vardaman High School,1A,0-3,14.1,3,2,-1.0,27.5,17.7,44.3,260,-9.37,16.7,Playing up,0.333,1,2,0
