calendar_date,home,away,home_name,away_name,home_score,away_score,neutral,forfeit,both_teams_ranked,perspective_check
2026-08-28,oak-grove,starkville,Oak Grove High School,Starkville High School,15,17,False,False,True,consistent
2026-08-28,shannon,olive-branch,Shannon High School,Olive Branch High School,31,13,False,False,True,consistent
2026-08-28,palmer,west-tallahatchie,M. S. Palmer High School,West Tallahatchie High School,6,44,False,False,True,consistent
2026-08-28,wayne-county,pearl-river-central,Wayne County High School,Pearl River Central High School,27,28,False,False,True,consistent
2026-08-28,pelahatchie,pisgah,Pelahatchie Attendance Center,Pisgah High School,27,19,False,False,True,consistent
2026-08-28,philadelphia,union,Philadelphia High School,Union High School,26,27,False,False,True,consistent
2026-08-28,west-harrison,poplarville,West Harrison High School,Poplarville Jr Sr High School,7,40,False,False,True,consistent
2026-08-28,port-gibson,raymond,Port Gibson High School,Raymond High School,34,14,False,False,True,consistent
2026-08-28,potts-camp,strayhorn,Potts Camp High School (5-12),Strayhorn High School,40,36,False,False,True,consistent
2026-08-28,puckett,sebastopol,Puckett Attendance Center,Sebastopol Attendance Center,0,13,False,False,True,consistent
2026-08-28,richton,west-lincoln,Richton High School,West Lincoln School,25,0,False,False,True,consistent
2026-08-28,yazoo-county,riverside,Yazoo County High School,Riverside High School,61,0,False,False,True,consistent
2026-08-28,seminary,west-lauderdale,Seminary High School,West Lauderdale High School,37,6,False,False,True,consistent
2026-08-28,wilkinson-county,south-delta,Wilkinson County High,South Delta High School,18,22,False,False,True,consistent
2026-08-28,southaven,winona,Southaven High School,Winona Secondary School,7,21,False,False,True,consistent
2026-08-28,st-martin,vancleave,St. Martin High School,Vancleave High School,56,14,False,False,True,consistent
2026-09-03,byers,holly-springs,H. W. Byers High School (5-12),Holly Springs High School,12,38,False,False,True,consistent
2026-09-03,terry,canton,Terry High School,Canton Public High School,40,47,False,False,True,consistent
2026-09-03,west-marion,columbia,West Marion High School,Columbia High School,0,39,False,False,True,consistent
2026-09-03,quitman,heidelberg,Quitman High School,Heidelberg High School,14,66,False,False,True,consistent
